text,subject,task_type,difficulty,language,source_url,source_title,source_file
Завдання: розрахувати Rf кожної плями та зробити висновок про компоненти суміші. Питання: 1. Напишіть рівняння реакції амінокислоти з нінгідрином. 2. Чому олівець повинен бути звичайним ? 25 3.4.,Математика,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 4. Виписати із різних джерел і записати 7- 8 висловлювань учених, письменників, відомих політичних діячів про українську мо ву.",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 6. Відредагувати словосполучення та записати з кількома з них речення. Прийняти участь, прийти до свідомості, відмінити указ , буханка хлі ба, в залежності від о бставин, в якості керівника , українець по походженню, живу по вулиці Тараса Шевченка, протікання хвороби.",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 7. Пояснити відмінність у значенні слів -паронімів. Скласти речення із запропонованими словами. Дипломат - диплом ант, адресат - адресан т; виборний - виборчий; вникати - уникати; гривня - гривна; громадський - громадянський.",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 8. Пояснити значення фразеологізмів, з’ясувати їх похо дження. Манна небесна, шити бі лими нитками, скринька Пандори, на руку ковінька, притча во язицех, як свиня на коня, муки Тантала, грати першу скрипку.",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання 4 . У якому рядку (рядках) є неправильні форми вітання і прощання. 1. Доброго ранку! Доброго дня! Спокійної ночі! Д о зустрічі! 2. Добрий вечір! Добридень! Прощавайте! На все добре! 3. До завтра! Хай вам щастить! На добраніч! Добривечір!,Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 6. Про який емоційний стан свідчать подані нижче мімічні ознаки : 1) кутики губ опущені, очі розкриті й блищать, брови зближені до перенісся; 2) кутики губ підняті, очі примружені, брови підняті догори; 3) ши роко розкриті о чі, тьмяні, обл иччя статичне.",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 8. Укладіть словничок іншомовних запозичень, без яких не обійтися у сфері бібліотекознавства .",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 9. Опишіть українську па радигму мов леннєвих формул, якою послуговуються у ситуації знайомства .",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання 10. Укладіть словничок сленгізмів, якими найбіл ьше послуговуються студенти Мукачівського державного університету .",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Завдання для самостійної роботи з навчальної дисципліни «ОСНОВИ ЕКОНОМІЧНОЇ ТЕОРІЇ» спец іальність 081 Право для здобувачів вищої освіти 1 курсу факультету підготовки фахівців для підрозділів кримінальної поліції, що навчаються на першому (бакалаврському) рівні вищої освіти Дніпро - 2016",Право,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Самостійна робота здобувачів вищої освіти - самостійна діяльність -учіння, яку науково -педагогічний працівник планує разом зі здобувачем вищої освіти, але виконує її здобувач за завданнями та під методичним керівництвом та контролем науково -педагогічного працівника без його прямої участі.",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Вправа «Антитривога» . Несиметрична крапка CV 17 («море спокою»), знаходиться в центрі грудини (на відстані трьох пальців нагору від основи грудини) (рис. 3) при її масажі знімається занепокоєння та тривога. Рис. 3",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
"Вправа «Активізація діяльності головного мозку і зміцнення сили волі. По черзі масажуйте великим пальцем протилежної руки вказану точку, біля розгалуження пальців, протягом 1 -2 хвилин кожну, починаючи з л івої руки (рис. 4). Рис. 4",Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Вправа 2. «Лижник (Синхронізація)». 60 сек. Корисна вправа для досягнення стану душевної і фізичної рівноваги.,Інше,homework,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Завдання основного рівня є нескла дними і в основно му охоплюють клас базових задач із відпові дної теми.,Інше,other,2,uk,llm_relabelled,LLM relabelled task,llm_relabelled
Задача № 1 Визначити оптимальний план задачі лінійного програмування симплекс -методом (задача № 1 із Лабораторної роботи № 1).,Програмування,homework,3,uk,llm_relabelled,LLM relabelled task,llm_relabelled
